,p,z,mdens_sum,mdens_to_divide,serpent_burnup,mdens_ratio,corrected_burnup
fuelP13Z4,13,4,0.0854922,0.0963029,0.293908,0.8877427367192474,0.2652755696744335
fuelP14Z4,14,4,0.0842669,0.0963029,0.272569,0.8750193400198749,0.24197115000482855
fuelP15Z4,15,4,0.0834454,0.0963029,0.19222,0.8664889634683899,0.16819621753862035
fuelP16Z4,16,4,0.0829197,0.0963029,0.120878,0.8610301455096367,0.10473945292613203
fuelP17Z4,17,4,0.0816665,0.0963029,0.351418,0.8480170379085158,0.30258149167470555
fuelP18Z4,18,4,0.0796976,0.0963029,0.620424,0.8275721707238307,0.5261301227273529
fuelP19Z4,19,4,0.0770285,0.0963029,0.923132,0.7998564944565533,0.7639583531046312
fuelP20Z4,20,4,0.0745614,0.0963029,0.925004,0.7742383666535484,0.7398704567982897
fuelP21Z4,21,4,0.0723605,0.0963029,0.887679,0.7513844339059363,0.6872751390726551
fuelP22Z4,22,4,0.0708491,0.0963029,0.700308,0.7356902024757302,0.5262005301397985
fuelP23Z4,23,4,0.0676743,0.0963029,1.69358,0.7027233863154693,1.2459502131088473
fuelP24Z4,24,4,0.0641231,0.0963029,2.08242,0.665848068957425,1.4633652341310595
fuelP25Z4,25,4,0.0602603,0.0963029,2.60176,0.6257371273346909,1.73237687189067
fuelP26Z4,26,4,0.0564338,0.0963029,3.07925,0.5860031214013285,1.926801049345347
fuelP27Z4,27,4,0.0510513,0.0963029,5.1782,0.5301117619510939,3.0344413632403593
fuelP28Z4,28,4,0.0468916,0.0963029,4.97147,0.48691783944201056,2.635434721187005
fuelP29Z4,29,4,0.0405418,0.0963029,9.36037,0.4209821303408309,4.557731136777813
fuelP30Z4,30,4,0.0345578,0.0963029,11.1916,0.3588448530625765,4.7114636099224425
fuelP31Z4,31,4,0.0294101,0.0963029,12.4318,0.3053916341044766,4.461087444303339
fuelP32Z4,32,4,0.0236748,0.0963029,17.9974,0.24583683357406683,5.496255395631907
fuelP33Z4,33,4,0.0189104,0.0963029,20.0254,0.19636376474644068,4.922980927054118
fuelP34Z4,34,4,0.0153099,0.0963029,19.7937,0.15897652095627443,3.886765450261623
fuelP35Z4,35,4,0.0116104,0.0963029,27.3395,0.12056127074054883,4.346338594684065
fuelP36Z4,36,4,0.0088485,0.0963029,28.3002,0.09188196824810053,3.41190807421168
fuelP37Z4,37,4,0.00644118,0.0963029,34.7855,0.06688459018368087,3.196160206494301
fuelP38Z4,38,4,0.00460434,0.0963029,38.1928,0.04781102126727233,2.554509775967287
fuelP39Z4,39,4,0.00347095,0.0963029,34.4013,0.03604200911914387,1.6447612859218157
fuelP40Z4,40,4,0.0029868,0.0963029,20.3745,0.031014642342027082,0.7343379147979968
fuelP41Z4,41,4,0.0026869,0.0963029,16.4157,0.02790050974581243,0.509127064294014
fuelP42Z4,42,4,0.00253134,0.0963029,11.3599,0.026285189750256743,0.3169470006614546
fuelP43Z4,43,4,0.00248811,0.0963029,6.41802,0.025836293611095823,0.1686988735209428
fuelP44Z4,44,4,0.00238063,0.0963029,10.2234,0.02472023168565017,0.26413476410367703
fuelP45Z4,45,4,0.00223646,0.0963029,13.3276,0.023223184348550252,0.32946135981367125
fuelP46Z4,46,4,0.00220041,0.0963029,7.60206,0.022848844635000608,0.17654404080873992
fuelP47Z4,47,4,0.00219898,0.0963029,5.41809,0.022833995653298085,0.12379709662845045
fuelP48Z4,48,4,0.00222549,0.0963029,3.63405,0.023109272929475646,0.0829798819038679
fuelP1Z5,1,5,0.0963554,0.0963554,0.0524331,1.0,0.0012116908184384896
fuelP2Z5,2,5,0.0955781,0.0963554,0.0678374,0.9919329897442178,0.0678374
fuelP3Z5,3,5,0.0947957,0.0963554,0.07543,0.9838130504361977,0.07482150541640635
fuelP4Z5,4,5,0.0940484,0.0963554,0.075999,0.9760573875465206,0.0747688080201006
fuelP5Z5,5,5,0.0933423,0.0963554,0.0744748,0.968729308372961,0.0726916787260496
fuelP6Z5,6,5,0.0927045,0.0963554,0.0711892,0.9621100633695673,0.06896306447962439
fuelP7Z5,7,5,0.0921724,0.0963554,0.0614067,0.9565877989194171,0.05908000402831601
fuelP8Z5,8,5,0.0912113,0.0963554,0.134188,0.9466132671339644,0.12836260356139875
fuelP9Z5,9,5,0.0898926,0.0963554,0.198503,0.9329274747445396,0.18790557336589336
fuelP10Z5,10,5,0.0884068,0.0963554,0.246747,0.9175074775259093,0.2301970556107909
fuelP11Z5,11,5,0.0869141,0.0963554,0.282087,0.902015870413075,0.25881693181285115
fuelP12Z5,12,5,0.085349,0.0963554,0.322713,0.8857728783233737,0.2910922475886147
fuelP13Z5,13,5,0.0837722,0.0963554,0.360774,0.8694084607608915,0.3195638244042368
fuelP14Z5,14,5,0.0823816,0.0963554,0.33584,0.8549764725173681,0.29198213746193785
fuelP15Z5,15,5,0.0814722,0.0963554,0.235441,0.8455384960261698,0.20129651566596166
fuelP16Z5,16,5,0.0808898,0.0963554,0.149633,0.8394942058255168,0.12652046177588386
fuelP17Z5,17,5,0.0795202,0.0963554,0.432355,0.8252801607382669,0.3629595173596913
fuelP18Z5,18,5,0.0773692,0.0963554,0.746248,0.8029565545885338,0.6158636693906102
fuelP19Z5,19,5,0.0744284,0.0963554,1.14431,0.7724362101138079,0.918831214981205
fuelP20Z5,20,5,0.0716662,0.0963554,1.19288,0.7437694202919608,0.9214237063205591
fuelP21Z5,21,5,0.0691395,0.0963554,1.16863,0.7175467072940387,0.8691912576357942
fuelP22Z5,22,5,0.0674725,0.0963554,0.877926,0.7002461719841339,0.6299529105478262
fuelP23Z5,23,5,0.0639796,0.0963554,2.13394,0.6639959981485211,1.4942833162438225
fuelP24Z5,24,5,0.0600333,0.0963554,2.72682,0.6230403277865071,1.8105975676713502
fuelP25Z5,25,5,0.0557904,0.0963554,3.4101,0.5790064697982676,2.124629821784768
fuelP26Z5,26,5,0.0517258,0.0963554,3.89547,0.5368230529892462,2.2555023329050576
fuelP27Z5,27,5,0.045972,0.0963554,6.75296,0.47710870381940196,3.6251446039142596
fuelP28Z5,28,5,0.04161,0.0963554,6.33353,0.43183879678772547,3.0217822889012966
fuelP29Z5,29,5,0.035148,0.0963554,11.864,0.3647745741286944,5.123335485089576
fuelP30Z5,30,5,0.0291629,0.0963554,14.2572,0.3026597367661802,5.200664058267622
fuelP31Z5,31,5,0.0241754,0.0963554,15.5433,0.2508982371512131,4.704331086477769
fuelP32Z5,32,5,0.0188257,0.0963554,22.1217,0.19537773700280422,5.550295532787992
fuelP33Z5,33,5,0.0145355,0.0963554,24.6351,0.1508529880006725,4.813150088837783
fuelP34Z5,34,5,0.0113764,0.0963554,24.1264,0.11806707252525547,3.6395395296994253
fuelP35Z5,35,5,0.00832226,0.0963554,32.5392,0.08637045770138467,3.841808086313793
fuelP36Z5,36,5,0.0061311,0.0963554,33.4831,0.06363006121089218,2.891950672261233
fuelP37Z5,37,5,0.00432242,0.0963554,40.1796,0.04485913607332854,2.5566304074291635
fuelP38Z5,38,5,0.00301035,0.0963554,43.5668,0.03124215145181277,1.9543690094794899
